['ADORA1', 'OXT', 'CRH', 'VIP', 'HTR6']
['ADORA2A', 'PRKACB', 'GCG', 'SLC2A2', 'GCK']
['ADORA2B', 'GNAS', 'PLA2G4A', 'ALOX12B', 'CYP4F22']
['ADORA3', 'GNAI3', 'GNG2', 'CGA', 'CSH2']
['ADPGK', 'TALDO1', 'EEF2', 'RPL5', 'STT3B']
['ADPRHL1', 'GRTP1']
['ADPRM', 'PRPS1', 'APRT', 'PDE7B', 'ENPP1']
['ADRA1A', 'AGT', 'GCG', 'G6PC3', 'INS']
['ADRA1B', 'ARRB2', 'CX3CR1', 'CXCL14', 'CCR7']
['ADRA1D', 'ARHGEF12', 'RND1', 'C2CD4A', 'UNC79']
['ADRA2A', 'GNB1', 'CGA', 'GPHA2', 'LHCGR']
['ADRA2B', 'GNAQ', 'GNRHR', 'GHRHR', 'FSHB']
['ADRA2C', 'SLC6A3', 'PRKCG', 'CACNG8', 'STAC3']
['ADRB1', 'FSHB', 'NR5A1', 'MC2R', 'VIP']
['ADRB2', 'NR3C1', 'RAD54L2', 'DCAF7', 'FAM117B']
['ADRB3', 'FGF21', 'KLB', 'FGF6', 'FGF1']
['ADRM1', 'PSME2', 'PSMB4', 'PSMD4', 'PSMA7']
['ADSL', 'ENTPD3', 'ADCY7', 'AKT1', 'YBX1']
['AEBP2', 'PCGF2', 'CDC16', 'MAD2L1', 'ESPL1']
['AEN', 'AAMP', 'MRTO4', 'EIF5B', 'PDCD11']
['AFAP1', 'SRC', 'GIT1', 'LPXN', 'APOB']
['AFAP1L1', 'GADD45G', 'CCNB2', 'CPEB3', 'AURKA']
['AFF1', 'CDK9', 'MED13', 'MED10', 'POLR2K']
['AFF2', 'FMR1', 'RNMT', 'SUPT5H', 'PAF1']
['AFF3', 'ELL', 'AFF1', 'CDC73', 'TTF2']
['AFF4', 'TTF2', 'EAF1', 'NUFIP1', 'ICE2']
['AFG3L2', 'MCU', 'MFN1', 'BAK1', 'MCL1']
['AFM', 'APOH', 'VTN', 'PLAUR', 'GAPDH']
['AFMID', 'HAAO', 'ACMSD', 'KYNU', 'KMO']
['AFP', 'TYR', 'CD8A', 'IL4R', 'JAK1']
['AGA', 'GGCT', 'CHAC2', 'LAP3', 'CDO1']
['AGAP1', 'ARF5', 'ARF4', 'RHO', 'SRP68']
['AGAP2', 'LGMN', 'CUBN', 'TCN2', 'CD320']
['AGAP3', 'TANC1', 'DLG1', 'ADAM10', 'SLC25A5']
['AGAP4', 'AGAP6']
['AGAP6', 'AGAP4']
['AGBL1', 'KANK4', 'TRAPPC3', 'TBC1D14', 'TRAPPC11']
['AGBL2', 'PRTN3', 'SERPINA1', 'CTSG', 'MMP9']
['AGBL3', 'CD46', 'C3', 'CCL2', 'CCL11']
['AGBL4', 'TTLL6', 'CEP41', 'PLK1', 'KIFC1']
['AGBL5', 'TTLL6', 'CEP41', 'TMEM237', 'CC2D2A']
['AGER', 'HSPA4', 'PA2G4', 'GNL1', 'BRIX1']
['AGFG1', 'GDI2', 'RAB5C', 'CHML', 'RABGGTA']
['AGFG2', 'EPS15', 'CBL', 'FGFR4', 'FGF13']
['AGGF1', 'TNFSF12', 'TNFRSF10B', 'TP53', 'JAK1']
['AGK', 'PNPLA3', 'LPIN2', 'CDS2', 'DGKB']
['AGL', 'GYS2', 'PPP1CC', 'CALM3', 'TNF']
['AGMAT', 'SMS', 'ARG2', 'HAL', 'CARNS1']
['AGMO', 'FA2H', 'PANK2', 'WDR45', 'ATG2A']
['AGO1', 'MEX3B', 'DZIP3', 'SNUPN', 'SMN1']
['AGO2', 'ELAVL1', 'HNRNPM', 'HNRNPDL', 'HNRNPL']
['AGO3', 'POP1', 'NAF1', 'TRUB2', 'PTCD1']
['AGO4', 'DCP2', 'TARBP2', 'STRBP', 'ILF2']
['AGPAT1', 'LPIN2', 'PNPLA2', 'SERPINF1', 'CPB2']
['AGPAT2', 'AGPAT1', 'PBX2', 'SLC38A2', 'SLC1A5']
['AGPAT3', 'GPD1L', 'KCNE2', 'SCN1B', 'CAMK2B']
['AGPAT4', 'AGPAT1', 'PBX2', 'SLC38A1', 'SLC38A2']
['AGPAT5', 'CDS2', 'DGKH', 'MBOAT2', 'PLD1']
['AGPS', 'PEX6', 'PEX19', 'PEX10', 'PEX5']
['AGR2', 'FOXA1', 'PIK3CA', 'PIK3C2A', 'PIK3R2']
['AGR3', 'LYPD3', 'PLAUR', 'SERPINE1', 'FGF2']
['AGRN', 'ITGB1', 'SPP1', 'GSTM1', 'GPX7']
['AGRP', 'UCP1', 'FNDC5', 'FN1', 'LGALS1']
['AGT', 'TNF', 'F3', 'MPO', 'CTSG']
['AGTPBP1', 'TTLL4', 'TTLL12', 'EEF1A1', 'HLA-DRA']
['AGTR1', 'GNAQ', 'CHRM5', 'GRM5', 'GNA15']
['AGTR2', 'KNG1', 'KLKB1', 'SERPING1', 'C3']
['AGTRAP', 'CHRM3', 'GNG12', 'CHRM1', 'KNG1']
['AGXT', 'HRG', 'C3', 'APOE', 'CFH']
['AGXT2', 'BCAT2', 'FPGS', 'BCAT1', 'BCKDHA']
['AHCTF1', 'NUP98', 'GLE1', 'RGPD2', 'CPSF6']
['AHCY', 'ADA', 'APRT', 'PDE6A', 'ADCY7']
